id,lote,partida_especifica,partida,descripcion,cantidad,unidad,marca,precio_unitario,subtotal,proveedor,medida,codigo
11,1,244,11,"PANTALÓN DE GABARDINA PARA CABALLERO COLOR VERDE OLIVO, CONFECCIONADO EN 98% ALGODÓN 2% ELASTANO, CUATRO BOLSILLOS, DOS AL FRENTE DIAGONALES Y DOS TRASEROS TIPO OJAL, TIRO MEDIO, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN PLÁSTICO PARA AJUSTE, CINCO PRESILLAS. SEGÚN MUESTRA PGC03.",1,Pieza,"SILVER PLATE",560.90,560.90,GIK,P,53101502
12,1,244,12,"PANTALÓN DE GABARDINA PARA CABALLERO COLOR AZUL MARINO, COMPOSICIÓN 57% ALGODÓN 43% POLIÉSTER, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CIERRE DE CARRO METÁLICO, EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CORTE REGULAR, CINTURA ALTA, PIERNA RELAJADA Y VALENCIANA PARA BOTA, CINCO PRESILLAS. SEGÚN MUESTRA PGC15.",1,Pieza,FUROR,552.47,552.47,GIK,P,53101502
13,1,244,13,"PANTALÓN DE GABARDINA PARA CABALLERO COLOR TABACO, COMPOSICIÓN 98% ALGODÓN 2% ELASTANO, CUATRO BOLSILLOS:  DOS AL FRENTE DIAGONALES Y DOS ATRÁS TIPO OJAL CON BOTÓN, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN PLÁSTICO PARA AJUSTE, CORTE SLIM, PIERNA Y VALENCIANA SEMI JUSTO, CINCO PRESILLAS. SEGÚN MUESTRA PGC19.",1,Pieza,OGGI,582.15,582.15,GIK,P,53101502
14,1,244,14,"PANTALÓN DE GABARDINA PARA CABALLERO COLOR AZUL MARINO, COMPOSICIÓN 98% ALGODÓN 2% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CORTE SLIM, PIERNA AJUSTADA, VALENCIANA SEMI AJUSTADA, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO, CINCO PRESILLAS, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS. SEGÚN MUESTRA PGC23.",1,Pieza,OGGI,563.46,563.46,GIK,P,53101502
15,1,244,15,"PANTALÓN DE GABARDINA GACELA PARA CABALLERO EN COLOR CAQUI, COMPOSICIÓN 40% POLIÉSTER 60% ALGODÓN, CUATRO BOLSILLOS, DOS AL FRENTE DIAGONAL, DOS ATRÁS CON UN SOLO BOTÓN LADO IZQUIERDO CINTURA MEDIA, CIERRE EN BRAGUETA CON GANCHO Y BOTÓN, CORTE RECTO, SIETE PRESILLAS. SEGÚN MUESTRA PGG01.",1,Pieza,GACELA,370.72,370.72,GIK,P,53101502
16,1,244,16,"PANTALÓN DE VESTIR PARA CABALLERO COLOR NEGRO, COMPOSICIÓN 65% POLIÉSTER 35% VISCOSA, CUATRO BOLSILLOS, DOS AL FRENTE EN DIAGONAL, DOS ATRÁS CON UN SOLO BOTÓN PLÁSTICO LADO DERECHO, CIERRE METÁLICO EN BRAGUETA CON AJUSTE DE CINTURA DE GANCHO Y BOTÓN PLÁSTICO, CORTE RECTO, CINTURA REGULAR, SEIS PRESILLAS. SEGÚN MUESTRA PVC01.",1,Pieza,"PIETRO CAVALLINI",380.37,380.37,GIK,P,53101502
17,1,244,17,"PANTALÓN DE GABARDINA PARA DAMA, COLOR NEGRO, COMPOSICIÓN 97% ALGODÓN 3% ELASTANO, CINCO BOLSILLOS; TRES AL FRENTE Y DOS ATRÁS, CINTURA MEDIA, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PGD04.",1,Pieza,OGGI,569.59,569.59,GIK,P,53101504
18,1,244,18,"PANTALÓN DE GABARDINA PARA DAMA, COLOR NEGRO, COMPOSICIÓN 97% ALGODÓN 3% ELASTANO, DOS BOLSILLOS EN DIAGONAL AL FRENTE, DOS BOLSAS SIMULADAS ATRÁS TIPO OJAL, CORTE SKINNY, PIERNA Y VALENCIANA AJUSTADA, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN DE PLÁSTICO PARA AJUSTE, CINCO PRESILLAS. SEGÚN MUESTRA PDG08.",1,Pieza,OGGI,582.15,582.15,GIK,P,53101504
19,1,244,19,"PANTALÓN DE GABARDINA PARA DAMA, COLOR AZUL MARINO, COMPOSICIÓN 98% ALGODÓN 2% ELASTANO, CINTURA ALTA, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CIERRE DE CARRO METÁLICO Y BOTÓN METÁLICO EN BRAGUETA PARA AJUSTE, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PGD13",1,Pieza,ESCANDIA,578.44,578.44,GIK,P,53101504
20,1,244,20,"PANTALÓN DE VESTIR PARA DAMA COLOR GRIS OXFORD, TOBILLO CON APERTURA, CONFECCIONADO EN TELA 100% POLIÉSTER, CORTE RECTO, CINTURA MEDIA, CIERRE METÁLICO Y BOTÓN PLÁSTICO PARA AJUSTE DE LA PRENDA AL FRENTE, SIN BOLSAS. SEGÚN MUESTRA PVD01.",1,Pieza,VANITY,625.59,625.59,GIK,P,53101504
21,8,244,100,"MOCHILA ERGONÓMICA COLOR GRIS COMPOSICIÓN 100% NAILON, FORRO 100% POLIÉSTER, CUATRO COMPARTIMIENTOS CON CIERRE, CON ESPACIO PARA LAPTOP, ASA SUPERIOR, RESPALDO Y TIRANTES ACOJINADOS, DOS BOLSAS LATERALES CON MALLA. LOGO EN PARTE DELANTERA. SEGÚN MUESTRA AC68.",1,Pieza,"Royal Swiss",992.44,992.44,beyram,P,24111514
22,8,244,101,"MOCHILA ERGONÓMICA COLOR AZUL ACERO, COMPOSICIÓN 100% NAILON, FORRO 100% POLIÉSTER, CUATRO COMPARTIMIENTOS CON CIERRE, ASA SUPERIOR, RESPALDO Y TIRANTES ACOJINADOS, DOS BOLSAS LATERALES CON MALLA. LOGO EN PARTE DELANTERA. SEGÚN MUESTRA AC72.",1,Pieza,"Swiss Navy",992.44,992.44,beyram,P,24111514
23,8,244,102,"MALETA DEPORTIVA COLOR NEGRO CON COMPARTIMENTO PRINCIPAL CON CIERRE DOBLE, DOS BOLSILLOS LATERALES, BOLSA DE MALLA Y CIERRE EN LADO DERECHO Y BOLSA DE CIERRE EN LADO IZQUIERDO, MANGOS DOBLE Y CORREAS PARA EL HOMBRO, FABRICADA EN POLIÉSTER 100%. SEGÚN MUESTRA AC02.",1,Pieza,Nike,824.85,824.85,beyram,P,53121500
24,8,244,103,"MALETÍN PORTAHERRAMIENTAS COLOR GRIS Y NARANJA, FABRICADO EN 100% POLIÉSTER DE 300 DENIERS, RECUBIERTA EN SU INTERIOR DE POLI CLORURÓ DE VINILO (PVC), ASA CON VELCRO, CORREA AL HOMBRO Y SEIS COMPARTIMIENTOS. SEGÚN MUESTRA AC63.",1,Pieza,Truper,437.33,437.33,beyram,P,27112809
25,8,244,104,"PORTAFOLIO COLOR NEGRO, CONFECCIONADO 100% POLIÉSTER Y FORRO 100% POLIAMIDA, SEIS BOLSAS CON CIERRE, CINTA AJUSTABLE, AGARRADERA CON VELCRO, ESPACIO PARA LAPTOP. SEGÚN MUESTRA AC64.",1,Pieza,"X Gear",831.22,831.22,beyram,P,53121704
26,9,246,105,"BATA DE MÉDICO PARA CABALLERO MANGA LARGA COLOR BLANCO, CONFECCIONADO EN 100% ALGODÓN, CUELLO CON SOLAPA, ALETILLA Y CUATRO BOTONES PARA CERRAR LA PRENDA, ABERTURAS LATERALES, TRES BOLSAS AL FRENTE, CINTA TRASERA CON DOS BOTONES. SEGÚN MUESTRA BMC01.",1,Par,"Nurse Y Doc",472.00,472.00,beyram,A,42131607
27,9,246,106,"BATA DE MÉDICO PARA DAMA MANGA LARGA COLOR BLANCO, CONFECCIONADO EN 100% POLIÉSTER, CUELLO CON SOLAPA, ALETILLA Y TRES BOTONES PARA CERRAR LA PRENDA, DOS BOLSILLOS DELANTEROS, CINTA TRASERA, DOS PINZAS AL FRENTE Y EN LA PARTE DE ATRÁS.  SEGÚN MUESTRA BMD01.",1,Par,"Nurse Y Doc",472.00,472.00,beyram,A,42131607
28,9,246,107,"BATA PARA ASISTENTE EDUCATIVO COLOR MEZCLILLA, CONFECCIONADAS EN 100% ALGODÓN, DETALLE EN LATERALES CUADRICULADO ROSA, SIN MANGAS, DOS BOLSAS AL FRENTE, CINTA DE AJUSTE EN LATERALES. SEGÚN MUESTRA BAE02.",1,Pieza,Journal,342.42,342.42,beyram,P,46181533
29,9,246,108,"BATA UNISEX TIPO INDUSTRIAL MANGA LARGA EN COLOR AZUL MARINO, CONFECCIONADO EN GABARDINA100% ALGODÓN, CUELLO CON SOLAPA, ALETILLA Y CUATRO BOTONES PARA CERRAR LA PRENDA, TRES BOLSILLOS AL FRENTE, ABERTURAS LATERALES, CINTA TRASERA CON DOS BOTONES. SEGÚN MUESTRA BI01.",1,Pieza,Journal,329.81,329.81,beyram,P,46181533
30,9,246,109,"BATA UNISEX TIPO INDUSTRIAL MANGA LARGA EN COLOR GRIS OXFORD, CONFECCIONADO EN GABARDINA 100% ALGODÓN, CUELLO CON SOLAPA, ALETILLA Y CUATRO BOTONES PARA CERRAR LA PRENDA, TRES BOLSILLOS AL FRENTE, ABERTURAS LATERALES, CINTA TRASERA CON DOS BOTONES. SEGÚN MUESTRA BI02.",1,Pieza,Journal,329.81,329.81,beyram,P,46181533
31,9,246,110,"OVEROL UNISEX COLOR AZUL REY, CONFECCIONADO EN GABARDINA 100% ALGODÓN, CON CINTA REFLEJANTE EN BRAZOS Y PIERNAS, CIERRE REFORZADO AL FRENTE CON DOBLE ACCIÓN, DOS BROCHES DE PRESIÓN EN LA PARTE SUPERIOR DEL CIERRE, DOS BOLSAS DE PARCHE EN LA PARTE SUPERIOR, DOS BOLSAS LATERALES EN DIAGONAL, DOS ABERTURAS A LA CADERA. SEGÚN MUESTRA OV01.",1,Pieza,Unitam,524.68,524.68,beyram,P,46181503
32,9,246,111,"CHALECO DE SEGURIDAD ROJO, FABRICADO EN TELA POLIÉSTER, CON CINTAS DE ALTA VISIBILIDAD AL FRENTE Y EN LA ESPALDA, CIERRE FRONTAL VERTICAL, SEIS BOLSAS FRONTALES: DOS CON CIERRE, DOS TIPOS PARCHE Y DOS CON VELCRO; Y UNA BOLSA TRASERA CON VELCRO. SEGÚN MUESTRA AC77",1,Pieza,"Sin Marca",456.65,456.65,beyram,P,46181507
33,9,246,112,"LENTES DE SEGURIDAD CON PATILLAS AJUSTABLES, MICA AZUL ESPEJO DE POLICARBONATO CON PROTECCIÓN UV Y ANTIRAYADURAS, PUENTE SUAVE. CUMPLE CON LA NORMA ANSI Z87.1. SEGÚN MUESTRA AC32.",1,Pieza,Truper,88.50,88.50,beyram,P,46181802
34,9,246,113,"GOGGLES DE SEGURIDAD DE VISIÓN PANORÁMICA O PERIFÉRICA, MICA TRASPARENTE DE POLICARBONATO CON PROTECCIÓN UV Y ANTIRAYADURAS, AJUSTADOR ELÁSTICO, ARMAZÓN SUAVE Y FLEXIBLE, CUMPLE CON LA NORMA ANSI Z87.1. SEGÚN MUESTRA AC24.",1,Pieza,Truper,273.93,273.93,beyram,P,46181811
