id,codigo,ur,nombre,ur_texto,created_at,updated_at
36,526,526,"INSTITUTO DE LA JUVENTUD DEL ESTADO DE OAXACA","526 INSTITUTO DE LA JUVENTUD DEL ESTADO DE OAXACA","2026-03-31 21:32:58","2026-03-31 21:32:58"
37,528,,"INSTITUTO DEL PATRIMONIO CULTURAL DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
38,532,,"INSTITUTO OAXAQUEÑO CONSTRUCTOR DE INFRAESTRUCTURA EDUCATIVA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
39,539,539,"SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO","539 SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO","2026-03-31 21:32:58","2026-03-31 21:32:58"
40,541,541,"SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE OAXACA","541 SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE OAXACA","2026-03-31 21:32:58","2026-03-31 21:32:58"
41,554,554,"DEFENSORÍA PÚBLICA DEL ESTADO DE OAXACA","554 DEFENSOR?A P?BLICA DEL ESTADO DE OAXACA","2026-03-31 21:32:58","2026-03-31 21:32:58"
42,558,,"INSTITUTO DE LA FUNCIÓN REGISTRAL DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
43,561,,"ORGANISMO OPERADOR ENCARGADO DE LA GESTIÓN Y MANEJO INTEGRAL DE LOS RESIDUOS SÓLIDOS URBANOS Y DE MANEJO ESPECIAL DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
44,562,,"COORDINACIÓN DE DELEGADOS DE PAZ SOCIAL",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
45,563,,"TELEBACHILLERATO COMUNITARIO DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
46,565,565,"INSTITUTO DEL DEPORTE","565 INSTITUTO DEL DEPORTE","2026-03-31 21:32:58","2026-03-31 21:32:58"
47,568,,"SISTEMA DE TRANSPORTE COLECTIVO METROPOLITANO CITYBUS OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
48,571,,"COMISIÓN ESTATAL DE BÚSQUEDA DE PERSONAS DESAPARECIDAS PARA EL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
49,572,,"DIRECCIÓN GENERAL DEL HANGAR OFICIAL DEL GOBIERNO DEL ESTADO",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
50,573,,"CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
51,578,,"UNIDAD DE INTELIGENCIA PATRIMONIAL Y ECONÓMICA DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
52,582,582,"COORDINACIÓN PARA LA COMERCIALIZACIÓN DE PRODUCTOS OAXAQUEÑOS","582 COORDINACI?N PARA LA COMERCIALIZACI?N DE PRODUCTOS OAXAQUE?OS","2026-03-31 21:32:58","2026-03-31 21:32:58"
53,801,801,"OFICINA DE PENSIONES DEL ESTADO DE OAXACA","801 OFICINA DE PENSIONES DEL ESTADO DE OAXACA","2026-03-31 21:32:58","2026-03-31 21:32:58"
54,504,,"CENTRO DE LAS ARTES DE SAN AGUSTÍN",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
55,506,,"COLEGIO DE BACHILLERES DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
56,507,,"COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
