id,key,name,created_at,updated_at
48,571,"COMISIÓN ESTATAL DE BÚSQUEDA DE PERSONAS DESAPARECIDAS PARA EL ESTADO DE OAXACA","2025-01-14 13:15:09","2025-01-14 13:15:09"
49,572,"DIRECCIÓN GENERAL DEL HANGAR OFICIAL DEL GOBIERNO DEL ESTADO","2025-01-14 13:15:09","2025-01-14 13:15:09"
50,573,"CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE OAXACA","2025-01-14 13:15:10","2025-01-14 13:15:10"
51,578,"UNIDAD DE INTELIGENCIA PATRIMONIAL Y ECONÓMICA DEL ESTADO DE OAXACA","2025-01-14 13:15:10","2025-01-14 13:15:10"
52,582,"COORDINACIÓN PARA LA COMERCIALIZACIÓN DE PRODUCTOS OAXAQUEÑOS","2025-01-14 13:15:11","2025-01-14 13:15:11"
53,801,"OFICINA DE PENSIONES DEL ESTADO DE OAXACA","2025-01-14 13:15:11","2025-01-14 13:15:11"
54,504,"CENTRO DE LAS ARTES DE SAN AGUSTÍN",,
55,506,"COLEGIO DE BACHILLERES DEL ESTADO DE OAXACA",,
56,507,"COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE OAXACA",,
57,508,"COLEGIO SUPERIOR PARA LA EDUCACIÓN INTEGRAL INTERCULTURAL DE OAXACA",,
58,524,"INSTITUTO DE CAPACITACIÓN Y PRODUCTIVIDAD PARA EL TRABAJO DEL ESTADO DE OAXACA",,
59,525,"INSTITUTO DE ESTUDIOS DE BACHILLERATO DEL ESTADO DE OAXACA",,
60,530,"INSTITUTO ESTATAL DE EDUCACIÓN PARA ADULTOS",,
61,535,"INSTITUTO TECNOLÓGICO SUPERIOR DE SAN MIGUEL EL GRANDE",,
62,536,"INSTITUTO TECNOLÓGICO SUPERIOR DE TEPOSCOLULA",,
63,538,NOVAUNIVERSITAS,,
64,540,"SERVICIOS DE SALUD DEL ESTADO DE OAXACA",,
65,543,"UNIVERSIDAD DE LA CAÑADA",,
66,542,"UNIVERSIDAD DE CHALCATONGO",,
67,544,"UNIVERSIDAD DE LA COSTA",,
68,545,"UNIVERSIDAD DE LA SIERRA JUÁREZ",,
69,546,"UNIVERSIDAD DE LA SIERRA SUR",,
71,548,"UNIVERSIDAD DEL MAR",,
72,549,"UNIVERSIDAD DEL PAPALOAPAN",,
73,550,"UNIVERSIDAD TECNOLÓGICA DE LA MIXTECA",,
74,551,"UNIVERSIDAD TECNOLÓGICA DE LA SIERRA SUR DE OAXACA",,
75,552,"UNIVERSIDAD TECNOLÓGICA DE LOS VALLES CENTRALES",,
77,108,"SECRETARÍA DEL TRABAJO",,
78,133,"SECRETARÍA DE EDUCACIÓN PUBLICA",,
79,576,"ARCHIVO GENERAL DEL ESTADO DE OAXACA",,
80,569,"UNIVERSIDAD POLITÉCNICA DE NOCHIXTLAN ""ABRAHAM CASTELLANOS""",,
81,118,"SECRETARÍA DE ADMINISTRACIÓN-DIRECCIÓN DE RECURSOS HUMANOS",,
82,575,"COMISIÓN EJECUTIVA ESTATAL DE ATENCIÓN INTEGRAL A VÍCTIMAS",,
84,601,"FIDEICOMISO PARA EL DESARROLLO LOGÍSTICO DEL ESTADO DE OAXACA",,
86,602,"FIDEICOMISO DE FOMENTO PARA EL ESTADO DE OAXACA",,
87,570,"UNIVERSIDAD AUTONOMA COMUNAL DE OAXACA",,
88,579,"UNIVERSIDAD POLITECNICA Y TECNOLOGICA DEL ISTMO DE TEHUANTEPEC",,
89,580,"AFROUNIVERSIDAD POLITECNICA INTERCULTURAL",,
90,574,"PROCURADURIA DE PROTECCION AL AMBIENTE DEL ESTADO DE OAXACA",,
91,552,"UNIVERSIDAD TECNOLÓGICA DE LOS VALLES CENTRALES DE OAXACA","2025-06-09 16:08:22","2025-06-09 16:08:22"
92,585,"INSTITUTO ESTATAL DE CREACIÓN LITERARIA Y PROMOCIÓN DE LA LECTURA",,
94,584,"INSTITUTO DE LENGUAS ORIGINARIAS DE OAXACA",,
96,587,"AGENCIA DE TECNOLOGIAS E INNOVACION DIGITAL","2025-09-03 11:42:28","2025-09-03 11:42:28"
