id,partida_id,tipo_partida_especifica_id,lote,descripcion,marca,unidad_medida,codigo,medida,origen,legacy_propuesta_id,created_at,updated_at
11,54,1,1,"PANTALÓN DE GABARDINA PARA CABALLERO COLOR VERDE OLIVO, CONFECCIONADO EN 98% ALGODÓN 2% ELASTANO, CUATRO BOLSILLOS, DOS AL FRENTE DIAGONALES Y DOS TRASEROS TIPO OJAL, TIRO MEDIO, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN PLÁSTICO PARA AJUSTE, CINCO PRESILLAS. SEGÚN MUESTRA PGC03.","SILVER PLATE",Pieza,53101502,P,propuesta,11,"2026-03-31 11:48:04","2026-03-31 11:48:04"
12,55,1,1,"PANTALÓN DE GABARDINA PARA CABALLERO COLOR AZUL MARINO, COMPOSICIÓN 57% ALGODÓN 43% POLIÉSTER, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CIERRE DE CARRO METÁLICO, EN BRAGUETA Y BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CORTE REGULAR, CINTURA ALTA, PIERNA RELAJADA Y VALENCIANA PARA BOTA, CINCO PRESILLAS. SEGÚN MUESTRA PGC15.",FUROR,Pieza,53101502,P,propuesta,12,"2026-03-31 11:48:04","2026-03-31 11:48:04"
13,56,1,1,"PANTALÓN DE GABARDINA PARA CABALLERO COLOR TABACO, COMPOSICIÓN 98% ALGODÓN 2% ELASTANO, CUATRO BOLSILLOS:  DOS AL FRENTE DIAGONALES Y DOS ATRÁS TIPO OJAL CON BOTÓN, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN PLÁSTICO PARA AJUSTE, CORTE SLIM, PIERNA Y VALENCIANA SEMI JUSTO, CINCO PRESILLAS. SEGÚN MUESTRA PGC19.",OGGI,Pieza,53101502,P,propuesta,13,"2026-03-31 11:48:04","2026-03-31 11:48:04"
14,57,1,1,"PANTALÓN DE GABARDINA PARA CABALLERO COLOR AZUL MARINO, COMPOSICIÓN 98% ALGODÓN 2% ELASTANO, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, CORTE SLIM, PIERNA AJUSTADA, VALENCIANA SEMI AJUSTADA, CIERRE DE CARRO METÁLICO EN BRAGUETA Y BOTÓN METÁLICO, CINCO PRESILLAS, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS. SEGÚN MUESTRA PGC23.",OGGI,Pieza,53101502,P,propuesta,14,"2026-03-31 11:48:04","2026-03-31 11:48:04"
15,153,1,1,"PANTALÓN DE GABARDINA GACELA PARA CABALLERO EN COLOR CAQUI, COMPOSICIÓN 40% POLIÉSTER 60% ALGODÓN, CUATRO BOLSILLOS, DOS AL FRENTE DIAGONAL, DOS ATRÁS CON UN SOLO BOTÓN LADO IZQUIERDO CINTURA MEDIA, CIERRE EN BRAGUETA CON GANCHO Y BOTÓN, CORTE RECTO, SIETE PRESILLAS. SEGÚN MUESTRA PGG01.",GACELA,Pieza,53101502,P,propuesta,15,"2026-03-31 11:48:04","2026-03-31 11:48:04"
16,70,1,1,"PANTALÓN DE VESTIR PARA CABALLERO COLOR NEGRO, COMPOSICIÓN 65% POLIÉSTER 35% VISCOSA, CUATRO BOLSILLOS, DOS AL FRENTE EN DIAGONAL, DOS ATRÁS CON UN SOLO BOTÓN PLÁSTICO LADO DERECHO, CIERRE METÁLICO EN BRAGUETA CON AJUSTE DE CINTURA DE GANCHO Y BOTÓN PLÁSTICO, CORTE RECTO, CINTURA REGULAR, SEIS PRESILLAS. SEGÚN MUESTRA PVC01.","PIETRO CAVALLINI",Pieza,53101502,P,propuesta,16,"2026-03-31 11:48:04","2026-03-31 11:48:04"
17,58,1,1,"PANTALÓN DE GABARDINA PARA DAMA, COLOR NEGRO, COMPOSICIÓN 97% ALGODÓN 3% ELASTANO, CINCO BOLSILLOS; TRES AL FRENTE Y DOS ATRÁS, CINTURA MEDIA, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN METÁLICO PARA AJUSTE, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PGD04.",OGGI,Pieza,53101504,P,propuesta,17,"2026-03-31 11:48:04","2026-03-31 11:48:04"
18,59,1,1,"PANTALÓN DE GABARDINA PARA DAMA, COLOR NEGRO, COMPOSICIÓN 97% ALGODÓN 3% ELASTANO, DOS BOLSILLOS EN DIAGONAL AL FRENTE, DOS BOLSAS SIMULADAS ATRÁS TIPO OJAL, CORTE SKINNY, PIERNA Y VALENCIANA AJUSTADA, CIERRE DE CARRO METÁLICO EN BRAGUETA, UN BOTÓN DE PLÁSTICO PARA AJUSTE, CINCO PRESILLAS. SEGÚN MUESTRA PDG08.",OGGI,Pieza,53101504,P,propuesta,18,"2026-03-31 11:48:04","2026-03-31 11:48:04"
19,60,1,1,"PANTALÓN DE GABARDINA PARA DAMA, COLOR AZUL MARINO, COMPOSICIÓN 98% ALGODÓN 2% ELASTANO, CINTURA ALTA, CORTE RECTO, PIERNA Y VALENCIANA RELAJADA, CIERRE DE CARRO METÁLICO Y BOTÓN METÁLICO EN BRAGUETA PARA AJUSTE, CINCO BOLSILLOS: TRES AL FRENTE Y DOS ATRÁS, REMACHES METÁLICOS EN BOLSILLOS DELANTEROS, CINCO PRESILLAS. SEGÚN MUESTRA PGD13",ESCANDIA,Pieza,53101504,P,propuesta,19,"2026-03-31 11:48:04","2026-03-31 11:48:04"
20,71,1,1,"PANTALÓN DE VESTIR PARA DAMA COLOR GRIS OXFORD, TOBILLO CON APERTURA, CONFECCIONADO EN TELA 100% POLIÉSTER, CORTE RECTO, CINTURA MEDIA, CIERRE METÁLICO Y BOTÓN PLÁSTICO PARA AJUSTE DE LA PRENDA AL FRENTE, SIN BOLSAS. SEGÚN MUESTRA PVD01.",VANITY,Pieza,53101504,P,propuesta,20,"2026-03-31 11:48:04","2026-03-31 11:48:04"
21,13,1,8,"MOCHILA ERGONÓMICA COLOR GRIS COMPOSICIÓN 100% NAILON, FORRO 100% POLIÉSTER, CUATRO COMPARTIMIENTOS CON CIERRE, CON ESPACIO PARA LAPTOP, ASA SUPERIOR, RESPALDO Y TIRANTES ACOJINADOS, DOS BOLSAS LATERALES CON MALLA. LOGO EN PARTE DELANTERA. SEGÚN MUESTRA AC68.","Royal Swiss",Pieza,24111514,P,propuesta,21,"2026-03-31 11:48:04","2026-03-31 11:48:04"
22,14,1,8,"MOCHILA ERGONÓMICA COLOR AZUL ACERO, COMPOSICIÓN 100% NAILON, FORRO 100% POLIÉSTER, CUATRO COMPARTIMIENTOS CON CIERRE, ASA SUPERIOR, RESPALDO Y TIRANTES ACOJINADOS, DOS BOLSAS LATERALES CON MALLA. LOGO EN PARTE DELANTERA. SEGÚN MUESTRA AC72.","Swiss Navy",Pieza,24111514,P,propuesta,22,"2026-03-31 11:48:04","2026-03-31 11:48:04"
23,104,1,8,"MALETA DEPORTIVA COLOR NEGRO CON COMPARTIMENTO PRINCIPAL CON CIERRE DOBLE, DOS BOLSILLOS LATERALES, BOLSA DE MALLA Y CIERRE EN LADO DERECHO Y BOLSA DE CIERRE EN LADO IZQUIERDO, MANGOS DOBLE Y CORREAS PARA EL HOMBRO, FABRICADA EN POLIÉSTER 100%. SEGÚN MUESTRA AC02.",Nike,Pieza,53121500,P,propuesta,23,"2026-03-31 11:48:04","2026-03-31 11:48:04"
24,144,1,8,"MALETÍN PORTAHERRAMIENTAS COLOR GRIS Y NARANJA, FABRICADO EN 100% POLIÉSTER DE 300 DENIERS, RECUBIERTA EN SU INTERIOR DE POLI CLORURÓ DE VINILO (PVC), ASA CON VELCRO, CORREA AL HOMBRO Y SEIS COMPARTIMIENTOS. SEGÚN MUESTRA AC63.",Truper,Pieza,27112809,P,propuesta,24,"2026-03-31 11:48:04","2026-03-31 11:48:04"
25,131,1,8,"PORTAFOLIO COLOR NEGRO, CONFECCIONADO 100% POLIÉSTER Y FORRO 100% POLIAMIDA, SEIS BOLSAS CON CIERRE, CINTA AJUSTABLE, AGARRADERA CON VELCRO, ESPACIO PARA LAPTOP. SEGÚN MUESTRA AC64.","X Gear",Pieza,53121704,P,propuesta,25,"2026-03-31 11:48:04","2026-03-31 11:48:04"
26,117,2,9,"BATA DE MÉDICO PARA CABALLERO MANGA LARGA COLOR BLANCO, CONFECCIONADO EN 100% ALGODÓN, CUELLO CON SOLAPA, ALETILLA Y CUATRO BOTONES PARA CERRAR LA PRENDA, ABERTURAS LATERALES, TRES BOLSAS AL FRENTE, CINTA TRASERA CON DOS BOTONES. SEGÚN MUESTRA BMC01.","Nurse Y Doc",Par,42131607,A,propuesta,26,"2026-03-31 11:48:04","2026-03-31 11:48:04"
27,118,2,9,"BATA DE MÉDICO PARA DAMA MANGA LARGA COLOR BLANCO, CONFECCIONADO EN 100% POLIÉSTER, CUELLO CON SOLAPA, ALETILLA Y TRES BOTONES PARA CERRAR LA PRENDA, DOS BOLSILLOS DELANTEROS, CINTA TRASERA, DOS PINZAS AL FRENTE Y EN LA PARTE DE ATRÁS.  SEGÚN MUESTRA BMD01.","Nurse Y Doc",Par,42131607,A,propuesta,27,"2026-03-31 11:48:04","2026-03-31 11:48:04"
28,113,2,9,"BATA PARA ASISTENTE EDUCATIVO COLOR MEZCLILLA, CONFECCIONADAS EN 100% ALGODÓN, DETALLE EN LATERALES CUADRICULADO ROSA, SIN MANGAS, DOS BOLSAS AL FRENTE, CINTA DE AJUSTE EN LATERALES. SEGÚN MUESTRA BAE02.",Journal,Pieza,46181533,P,propuesta,28,"2026-03-31 11:48:04","2026-03-31 11:48:04"
29,27,2,9,"BATA UNISEX TIPO INDUSTRIAL MANGA LARGA EN COLOR AZUL MARINO, CONFECCIONADO EN GABARDINA100% ALGODÓN, CUELLO CON SOLAPA, ALETILLA Y CUATRO BOTONES PARA CERRAR LA PRENDA, TRES BOLSILLOS AL FRENTE, ABERTURAS LATERALES, CINTA TRASERA CON DOS BOTONES. SEGÚN MUESTRA BI01.",Journal,Pieza,46181533,P,propuesta,29,"2026-03-31 11:48:04","2026-03-31 11:48:04"
30,28,2,9,"BATA UNISEX TIPO INDUSTRIAL MANGA LARGA EN COLOR GRIS OXFORD, CONFECCIONADO EN GABARDINA 100% ALGODÓN, CUELLO CON SOLAPA, ALETILLA Y CUATRO BOTONES PARA CERRAR LA PRENDA, TRES BOLSILLOS AL FRENTE, ABERTURAS LATERALES, CINTA TRASERA CON DOS BOTONES. SEGÚN MUESTRA BI02.",Journal,Pieza,46181533,P,propuesta,30,"2026-03-31 11:48:04","2026-03-31 11:48:04"
31,123,2,9,"OVEROL UNISEX COLOR AZUL REY, CONFECCIONADO EN GABARDINA 100% ALGODÓN, CON CINTA REFLEJANTE EN BRAZOS Y PIERNAS, CIERRE REFORZADO AL FRENTE CON DOBLE ACCIÓN, DOS BROCHES DE PRESIÓN EN LA PARTE SUPERIOR DEL CIERRE, DOS BOLSAS DE PARCHE EN LA PARTE SUPERIOR, DOS BOLSAS LATERALES EN DIAGONAL, DOS ABERTURAS A LA CADERA. SEGÚN MUESTRA OV01.",Unitam,Pieza,46181503,P,propuesta,31,"2026-03-31 11:48:04","2026-03-31 11:48:04"
32,132,2,9,"CHALECO DE SEGURIDAD ROJO, FABRICADO EN TELA POLIÉSTER, CON CINTAS DE ALTA VISIBILIDAD AL FRENTE Y EN LA ESPALDA, CIERRE FRONTAL VERTICAL, SEIS BOLSAS FRONTALES: DOS CON CIERRE, DOS TIPOS PARCHE Y DOS CON VELCRO; Y UNA BOLSA TRASERA CON VELCRO. SEGÚN MUESTRA AC77","Sin Marca",Pieza,46181507,P,propuesta,32,"2026-03-31 11:48:04","2026-03-31 11:48:04"
33,109,2,9,"LENTES DE SEGURIDAD CON PATILLAS AJUSTABLES, MICA AZUL ESPEJO DE POLICARBONATO CON PROTECCIÓN UV Y ANTIRAYADURAS, PUENTE SUAVE. CUMPLE CON LA NORMA ANSI Z87.1. SEGÚN MUESTRA AC32.",Truper,Pieza,46181802,P,propuesta,33,"2026-03-31 11:48:04","2026-03-31 11:48:04"
34,137,2,9,"GOGGLES DE SEGURIDAD DE VISIÓN PANORÁMICA O PERIFÉRICA, MICA TRASPARENTE DE POLICARBONATO CON PROTECCIÓN UV Y ANTIRAYADURAS, AJUSTADOR ELÁSTICO, ARMAZÓN SUAVE Y FLEXIBLE, CUMPLE CON LA NORMA ANSI Z87.1. SEGÚN MUESTRA AC24.",Truper,Pieza,46181811,P,propuesta,34,"2026-03-31 11:48:04","2026-03-31 11:48:04"
35,156,2,9,"GOGGLES PARA NATACIÓN TRANSPARENTE CON CORREA FÁCILMENTE AJUSTABLE, LENTES CON VENTANA LATERAL, ANTIEMPAÑANTES, PUENTE PARA LA NARIZ, SIN FILTRACIONES DE AGUA, CON PROTECCIÓN UV. SEGÚN MUESTRA AC43.",Arena,Pieza,49141606,P,propuesta,35,"2026-03-31 11:48:04","2026-03-31 11:48:04"
36,127,2,9,"BOTAS TIPO JARDINERA COLOR NEGRO, FABRICADA EN PVC, EMPEINE Y TOBILLOS CONFORTABLES, PUNTA REFORZADA, SUELA ANTIDERRAPANTE, ALTURA 35 CM. SEGÚN MUESTRA AC03.",Truper,Par,46181604,A,propuesta,36,"2026-03-31 11:48:04","2026-03-31 11:48:04"
37,111,2,9,"BOTA PANTALONERA COLOR NEGRO, FABRICADA CON PETO DE PVC (CLORURO DE POLIVINILO) AHULADO SELLADO A LA BOTA DE PVC 100% IMPERMEABLE, CON TIRANTES ELÁSTICOS AJUSTABLES. SEGÚN MUESTRA AC52.","Dita Flex",Par,46181604,A,propuesta,37,"2026-03-31 11:48:04","2026-03-31 11:48:04"
38,1,2,9,"FAJA DE PROTECCIÓN LUMBAR, FABRICADA EN FIBRAS SINTÉTICAS, TIRANTES AJUSTABLES, VARILLAS EN ESPALDA Y CINTURÓN AJUSTABLE CON CIERRE MEDIANTE VELCRO. SEGÚN MUESTRA AC04.",Truper,Pieza,46182201,P,propuesta,38,"2026-03-31 11:48:04","2026-03-31 11:48:04"
39,107,2,9,"FAJA DE PROTECCIÓN, FABRICADO CON DOBLE MALLA ELÁSTICA TRANSPIRABLE DE FIBRAS SINTÉTICAS, CON 3 VARILLAS PARA SOPORTE LUMBAR Y CIERRE CON VELCRO. SEGÚN MUESTRA AC14.",Truper,Pieza,46182201,P,propuesta,39,"2026-03-31 11:48:04","2026-03-31 11:48:04"
40,80,2,9,"RESPIRADOR MEDIA CARA DE DOS FILTROS, PARA PROTECCIÓN MULTI-GAS/VAPORES ORGÁNICOS, CON CARTUCHOS INCLUIDOS Y BANDAS ELÁSTICAS AJUSTABLES. CUMPLE CON LA APROBACIÓN KOSHA. SEGÚN MUESTRA AC05.",Truper,Pieza,46182002,P,propuesta,40,"2026-03-31 11:48:04","2026-03-31 11:48:04"
41,135,2,9,"RESPIRADOR MEDIA CARA DE UN FILTRO, PARA PROTECCIÓN MULTIGAS/VAPORES ORGÁNICOS, BANDA ELÁSTICA AJUSTABLE, NO INCLUYE CARTUCHO. SEGÚN MUESTRA AC07.",Pretul,Pieza,46182002,P,propuesta,41,"2026-03-31 11:48:04","2026-03-31 11:48:04"
