producto_cotizado_id,clasificacion_id
134,29
240,29
21,30
22,30
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
84,30
144,30
145,30
146,30
147,30
148,30
149,30
150,30
151,30
152,30
198,30
212,30
247,30
258,30
259,30
260,30
261,30
262,30
263,30
264,30
265,30
266,30
267,30
268,30
269,30
270,30
271,30
334,30
335,30
360,30
399,30
409,30
410,30
411,30
412,30
413,30
414,30
415,30
416,30
417,30
418,30
419,30
420,30
421,30
422,30
423,30
424,30
425,30
426,30
427,30
428,30
429,30
430,30
431,30
432,30
433,30
459,30
466,30
468,30
469,30
483,30
484,30
519,30
520,30
532,30
533,30
534,30
538,30
542,30
543,30
544,30
545,30
546,30
547,30
548,30
560,30
561,30
562,30
563,30
572,30
573,30
574,30
587,30
607,30
608,30
609,30
618,30
623,30
640,30
113,31
114,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
126,31
127,31
128,31
130,31
131,31
132,31
221,31
222,31
223,31
224,31
225,31
226,31
227,31
228,31
229,31
230,31
231,31
232,31
233,31
236,31
378,31
379,31
380,31
381,31
382,31
383,31
384,31
385,31
386,31
387,31
388,31
390,31
391,31
392,31
394,31
395,31
397,31
398,31
475,31
476,31
477,31
478,31
479,31
481,31
482,31
491,31
514,31
515,31
516,31
531,31
539,31
575,31
601,31
602,31
603,31
604,31
615,31
616,31
627,31
628,31
644,31
645,31
657,31
129,32
234,32
235,32
389,32
393,32
396,32
480,32
605,32
617,32
658,32
659,32
19,33
59,33
80,33
81,33
82,33
83,33
84,33
85,33
86,33
87,33
88,33
91,33
93,33
94,33
95,33
96,33
97,33
98,33
99,33
100,33
101,33
102,33
103,33
104,33
105,33
106,33
107,33
108,33
153,33
154,33
184,33
185,33
186,33
197,33
198,33
199,33
200,33
201,33
203,33
204,33
205,33
207,33
208,33
209,33
210,33
211,33
212,33
213,33
214,33
215,33
216,33
217,33
218,33
247,33
315,33
332,33
333,33
334,33
335,33
336,33
337,33
338,33
339,33
340,33
341,33
353,33
354,33
355,33
356,33
357,33
358,33
359,33
360,33
361,33
362,33
363,33
364,33
365,33
366,33
450,33
459,33
460,33
461,33
462,33
463,33
464,33
465,33
466,33
467,33
468,33
469,33
470,33
471,33
472,33
473,33
474,33
480,33
489,33
499,33
505,33
506,33
507,33
510,33
511,33
512,33
513,33
527,33
528,33
529,33
530,33
536,33
538,33
557,33
558,33
572,33
573,33
574,33
584,33
619,33
643,33
60,34
61,34
62,34
63,34
64,34
65,34
66,34
67,34
68,34
69,34
70,34
71,34
72,34
184,34
185,34
187,34
188,34
189,34
190,34
191,34
192,34
193,34
194,34
316,34
317,34
318,34
319,34
320,34
451,34
452,34
453,34
454,34
455,34
456,34
457,34
458,34
500,34
501,34
502,34
552,34
553,34
554,34
555,34
569,34
570,34
571,34
589,34
590,34
626,34
630,34
662,34
36,35
37,35
38,35
39,35
40,35
41,35
42,35
43,35
59,35
153,35
154,35
155,35
156,35
157,35
158,35
159,35
160,35
161,35
162,35
163,35
164,35
165,35
186,35
277,35
278,35
279,35
280,35
281,35
282,35
283,35
284,35
285,35
286,35
287,35
288,35
289,35
290,35
291,35
315,35
434,35
435,35
436,35
437,35
438,35
439,35
440,35
441,35
442,35
443,35
444,35
445,35
450,35
485,35
486,35
493,35
494,35
495,35
496,35
499,35
521,35
522,35
523,35
524,35
549,35
550,35
564,35
565,35
566,35
610,35
611,35
612,35
613,35
619,35
624,35
625,35
629,35
654,35
660,35
661,35
663,35
92,36
206,36
342,36
343,36
344,36
345,36
346,36
347,36
348,36
349,36
350,36
351,36
352,36
508,36
509,36
592,36
593,36
594,36
614,36
632,36
2,37
3,37
4,37
5,37
19,37
45,37
46,37
47,37
48,37
49,37
50,37
51,37
52,37
53,37
54,37
55,37
56,37
57,37
58,37
75,37
76,37
77,37
78,37
79,37
174,37
175,37
176,37
177,37
178,37
179,37
180,37
181,37
182,37
183,37
195,37
238,37
239,37
241,37
305,37
306,37
307,37
308,37
309,37
310,37
311,37
312,37
313,37
314,37
328,37
329,37
330,37
401,37
448,37
449,37
487,37
488,37
498,37
504,37
540,37
556,37
588,37
622,37
44,38
166,38
167,38
168,38
169,38
170,38
171,38
172,38
173,38
222,38
292,38
293,38
294,38
295,38
296,38
297,38
298,38
299,38
300,38
301,38
302,38
303,38
304,38
378,38
406,38
407,38
447,38
492,38
497,38
525,38
535,38
537,38
551,38
567,38
568,38
606,38
620,38
621,38
633,38
639,38
642,38
655,38
59,39
165,39
186,39
291,39
315,39
450,39
499,39
597,39
598,39
619,39
73,40
74,40
165,40
291,40
327,40
503,40
196,42
331,43
